"","type","Migration","name","x","y"
"224","tno:coastal_migration_satellite_0_40k",-11.52902975,1545,-1.2455542294,45.8163150083
"225","tno:coastal_migration_satellite_0_40k",-11.82717738,1546,-1.2445737257,45.8132599712
"226","tno:coastal_migration_satellite_0_40k",-0.943856,1547,-1.2207773735,45.8107751983
"227","tno:coastal_migration_satellite_0_40k",0.73263505,1548,-1.2179396904,45.8132019535
"228","tno:coastal_migration_satellite_0_40k",-0.19538561,1549,-1.2151020073,45.815628603
"229","tno:coastal_migration_satellite_0_40k",0.37937612,1550,-1.2122643241,45.8180551467
"230","tno:coastal_migration_satellite_0_40k",-0.66645465,1551,-1.209426641,45.8204815847
"231","tno:coastal_migration_satellite_0_40k",-0.01954051,1552,-1.2065889579,45.8229079169
"232","tno:coastal_migration_satellite_0_40k",-0.22074876,1553,-1.2038077328,45.8253634901
"233","tno:coastal_migration_satellite_0_40k",-12.35630969,1554,-1.2014065538,45.8280007761
"234","tno:coastal_migration_satellite_0_40k",-0.37024019,1555,-1.1999634643,45.8309400952
"235","tno:coastal_migration_satellite_0_40k",-0.25839778,1556,-1.1999233602,45.8340502513
"236","tno:coastal_migration_satellite_0_40k",-0.93986222,1557,-1.2009789006,45.837090041
"237","tno:coastal_migration_satellite_0_40k",-0.43923482,1558,-1.2020645956,45.8401264492
"238","tno:coastal_migration_satellite_0_40k",-1.54491932,1559,-1.2031502907,45.8431626917
"239","tno:coastal_migration_satellite_0_40k",-0.39586011,1560,-1.2042359857,45.8461987685
"240","tno:coastal_migration_satellite_0_40k",-0.75726824,1561,-1.2048244417,45.8492990716
"241","tno:coastal_migration_satellite_0_40k",-4.55749187,1562,-1.2047800683,45.852406103
"242","tno:coastal_migration_satellite_0_40k",-1.2793078,1563,-1.2035605986,45.8554169354
"243","tno:coastal_migration_satellite_0_40k",3.83956892,1564,-1.2018762504,45.8583150583
"244","tno:coastal_migration_satellite_0_40k",1.00984443,1565,-1.200151911,45.8612033769
"245","tno:coastal_migration_satellite_0_40k",0.27717689,1566,-1.1984275715,45.8640915454
"246","tno:coastal_migration_satellite_0_40k",-1.92329232,1567,-1.1968227249,45.8670099459
"247","tno:coastal_migration_satellite_0_40k",-2.43227035,1568,-1.1954707052,45.8699924107
"248","tno:coastal_migration_satellite_0_40k",-0.54737213,1569,-1.1941186854,45.8729747155
